timestamp,rmssd_ratio,slope,rmssd_raw,mean_rr
0,0.8311623596798983,-23.4375,147.93891334125755,513.4765625
10,0.747823785881543,82.03125,133.10544800978235,389.84375
20,0.9902287328197001,-105.46875,176.25119928320046,506.25
30,0.5273631560631852,-66.40625,93.8655743196193,412.109375
40,1.3070847209902965,-7.8125,232.64852049211714,440.4296875
50,0.6753836383211349,85.9375,120.21179782512482,385.9375
60,0.91562345008282,156.25,162.9721758420259,424.8046875
70,0.9079896644601101,261.71875,140.51930878365502,546.484375
80,0.9020397243944254,-414.0625,160.55440319620882,461.328125
90,0.9010945668194239,-277.34375,139.4522323703556,564.0625
100,0.9181439378549054,-242.1875,142.0907710309542,501.7578125
110,0.7862514948291817,-70.3125,121.67926674496401,520.1171875
120,0.9828283157643476,-160.15625,174.93399615833493,437.3046875
130,0.7884005347304479,398.4375,140.3277194008256,440.625
140,0.8898877712892161,128.90625,158.39147231222253,426.3671875
150,0.5678678786079032,-238.28125,101.07502572062171,390.234375
160,0.7416342478868068,355.46875,114.77435918315817,625.1953125
170,0.725420612485616,-222.65625,129.1178984185501,392.7734375
180,0.9519864660729346,152.34375,169.44444327417972,427.734375
190,0.7348209519995894,-230.46875,113.71994230366695,628.515625
200,0.9833046938378788,-316.40625,152.17496554212428,543.75
210,1.2061822971780756,0.0,186.6672158292948,484.9609375
220,0.9328209179508341,-70.3125,166.0331598711812,432.2265625
230,0.7696903354974179,109.375,136.9974837246108,441.6015625
240,0.9798202096036255,-144.53125,151.63571125848003,487.109375
250,0.9207332945320312,-140.625,142.49149652894803,459.5703125
260,0.9977596096614575,89.84375,154.41198966206616,589.84375
270,1.0252941008417655,35.15625,182.49249784620744,451.3671875
280,0.6071329655879558,160.15625,108.06383390283544,488.0859375
290,0.9539549212453698,-89.84375,169.79480937988643,487.6953125
300,0.8704309146565472,3.90625,134.70676513062452,621.2890625
310,0.694754796477175,-183.59375,123.65967783844721,487.3046875
320,0.840428196674657,-199.21875,149.58814329042144,438.4765625
330,0.616579204337799,-42.96875,109.74517363091465,473.2421875
340,1.1078640640751494,-136.71875,171.4516129461186,491.6015625
350,0.9740366739070541,0.0,150.74065873726985,453.3203125
360,0.8879936500014212,234.375,137.424751389289,479.1015625
370,1.219851892049781,-89.84375,188.78270469211876,491.40625
380,0.9913875305520364,371.09375,153.42585492175166,492.1875
390,0.8481292251729364,46.875,131.2553844446912,533.203125
400,1.0066304166392435,207.03125,179.17054139845771,448.6328125
410,0.9535429461269531,273.4375,169.72148176749832,504.8828125
420,1.055029178509683,324.21875,163.27495423520986,543.1640625
430,1.2951807196727267,-31.25,230.52972264374924,460.15625
440,1.282583366199229,207.03125,228.28751477408258,462.5
450,0.9956401145456848,-425.78125,154.08397933298846,522.65625
460,0.8324868092711799,-132.8125,128.8345843450246,479.6875
470,0.7303811821642902,-332.03125,113.03284925312467,540.234375
480,0.6320694265229587,-46.875,112.50228433353324,488.671875
490,0.9613892353461059,-187.5,148.78335746608752,485.9375
500,0.6196959531317777,-50.78125,110.29992496724377,483.0078125
510,1.2469163405618584,296.875,192.9711638193372,470.5078125
520,0.9357106164094354,-167.96875,166.54749842955147,487.890625
530,1.0921218757286757,-167.96875,194.38719962455934,430.46875
540,0.9916612895385899,-11.71875,176.50618061365182,465.625
550,0.9519607020739317,15.625,147.3242098236555,421.2890625
560,0.9466623749532069,85.9375,146.5042475555204,447.8515625
570,0.9749485243167978,-300.78125,150.88177553001162,500.78125
580,0.8844180125788864,11.71875,136.87139035585224,526.5625
590,0.8857440057602599,42.96875,137.07659934951323,539.84375
600,0.9341651290493419,-105.46875,166.27241653012217,426.7578125
610,0.60066856149431,214.84375,106.91323209095714,480.859375
620,0.6990833020440085,19.53125,124.43011023651147,418.75
630,0.813129215744457,382.8125,125.8388281502584,516.40625
640,1.0427049368466261,-7.8125,161.3676704988854,476.5625
650,0.7669188077995499,-218.75,136.50417842614215,453.90625
660,0.9393203584655809,179.6875,167.18999782934873,488.4765625
670,0.9342007044759747,-207.03125,144.57569551325508,546.6796875
680,0.8864819130352111,203.125,137.19079692717423,491.015625
